method,path,normalized_path,page,title,sdk_module_guess,src_path_match,test_path_match,src_evidence,test_evidence,audit_status,notes
PUT,/v1/ocsp,/v1/ocsp,ocsp,OCSP requests,ocsp,true,true,src/ocsp.rs,tests/common/fixtures.rs;tests/ocsp_tests.rs,implemented_and_tested,
GET,/v1/ocsp/status,/v1/ocsp/status,ocsp/status,OCSP status requests,,true,true,src/ocsp.rs,tests/ocsp_tests.rs,implemented_and_tested,
POST,/v1/ocsp/test,/v1/ocsp/test,ocsp/test,OCSP test requests,,true,true,src/ocsp.rs,tests/ocsp_tests.rs,implemented_and_tested,
GET,/v1/proxies,/v1/proxies,proxies,Proxy requests,proxies,true,true,src/proxies.rs,tests/proxy_tests.rs,implemented_and_tested,
GET,/v1/proxies/{uid},/v1/proxies/{},proxies,Proxy requests,proxies,true,false,src/proxies.rs,,implemented_no_test_path_evidence,
PUT,/v1/proxies/{uid},/v1/proxies/{},proxies,Proxy requests,proxies,true,false,src/proxies.rs,,implemented_no_test_path_evidence,
PUT,/v1/proxies,/v1/proxies,proxies,Proxy requests,proxies,true,true,src/proxies.rs,tests/proxy_tests.rs,implemented_and_tested,
GET,/v1/redis_acls,/v1/redis_acls,redis_acls,Redis access control list (ACL) requests,redis_acls,true,true,src/redis_acls.rs,tests/redis_acl_tests.rs,implemented_and_tested,
GET,/v1/redis_acls/{uid},/v1/redis_acls/{},redis_acls,Redis access control list (ACL) requests,redis_acls,true,false,src/redis_acls.rs,,implemented_no_test_path_evidence,
PUT,/v1/redis_acls/{uid},/v1/redis_acls/{},redis_acls,Redis access control list (ACL) requests,redis_acls,true,false,src/redis_acls.rs,,implemented_no_test_path_evidence,
POST,/v1/redis_acls,/v1/redis_acls,redis_acls,Redis access control list (ACL) requests,redis_acls,true,true,src/redis_acls.rs,tests/redis_acl_tests.rs,implemented_and_tested,
DELETE,/v1/redis_acls/{uid},/v1/redis_acls/{},redis_acls,Redis access control list (ACL) requests,redis_acls,true,false,src/redis_acls.rs,,implemented_no_test_path_evidence,
GET,/v1/roles,/v1/roles,roles,Roles requests,roles,true,true,src/roles.rs;src/users.rs,tests/roles_tests.rs,implemented_and_tested,
GET,/v1/roles/{uid},/v1/roles/{},roles,Roles requests,roles,true,false,src/roles.rs;src/users.rs,,implemented_no_test_path_evidence,
PUT,/v1/roles/{uid},/v1/roles/{},roles,Roles requests,roles,true,false,src/roles.rs;src/users.rs,,implemented_no_test_path_evidence,
POST,/v1/roles,/v1/roles,roles,Roles requests,roles,true,true,src/roles.rs;src/users.rs,tests/roles_tests.rs,implemented_and_tested,
DELETE,/v1/roles/{uid},/v1/roles/{},roles,Roles requests,roles,true,false,src/roles.rs;src/users.rs,,implemented_no_test_path_evidence,
GET,/v1/local/services,/v1/local/services,services,Services requests,services,true,true,src/local.rs,tests/common/fixtures.rs;tests/local_tests.rs,implemented_and_tested,
POST,/v1/local/services,/v1/local/services,services,Services requests,services,true,true,src/local.rs,tests/common/fixtures.rs;tests/local_tests.rs,implemented_and_tested,
POST,/v1/services,/v1/services,services,Services requests,services,true,true,src/services.rs,tests/services_tests.rs,implemented_and_tested,
GET,/v1/shards,/v1/shards,shards,Shard requests,shards,true,true,src/shards.rs,tests/shard_tests.rs,implemented_and_tested,
GET,/v1/shards/{uid},/v1/shards/{},shards,Shard requests,shards,true,false,src/shards.rs,,implemented_no_test_path_evidence,
POST,/v1/shards/actions/migrate,/v1/shards/actions/migrate,shards/actions,Shard actions requests,,true,false,src/shards.rs,,implemented_no_test_path_evidence,
POST,/v1/shards/{uid}/actions/migrate,/v1/shards/{}/actions/migrate,shards/actions,Shard actions requests,,true,false,src/shards.rs,,implemented_no_test_path_evidence,
POST,/v1/shards/actions/failover,/v1/shards/actions/failover,shards/actions/failover,Shard failover requests,,true,false,src/shards.rs,,implemented_no_test_path_evidence,
POST,/v1/shards/{uid}/actions/failover,/v1/shards/{}/actions/failover,shards/actions/failover,Shard failover requests,,true,false,src/shards.rs,,implemented_no_test_path_evidence,
POST,/v1/shards/actions/migrate,/v1/shards/actions/migrate,shards/actions/migrate,Migrate shards requests,,true,false,src/shards.rs,,implemented_no_test_path_evidence,
POST,/v1/shards/{uid}/actions/migrate,/v1/shards/{}/actions/migrate,shards/actions/migrate,Migrate shards requests,,true,false,src/shards.rs,,implemented_no_test_path_evidence,
GET,/v1/shards/stats,/v1/shards/stats,shards/stats,Shards stats requests,,true,true,src/stats.rs,tests/stats_tests.rs,implemented_and_tested,
