method,path,normalized_path,page,title,sdk_module_guess,src_path_match,test_path_match,src_evidence,test_evidence,audit_status,notes
DELETE,/v1/cluster/auditing/db_conns,/v1/cluster/auditing/db_conns,cluster/auditing-db-conns,Auditing database connections requests,,true,true,src/cluster.rs,tests/cluster_tests.rs,implemented_and_tested,
GET,/v1/cluster/certificates,/v1/cluster/certificates,cluster/certificates,Cluster certificates requests,,true,false,src/cluster.rs,,implemented_no_test_path_evidence,
PUT,/v1/cluster/certificates,/v1/cluster/certificates,cluster/certificates,Cluster certificates requests,,true,false,src/cluster.rs,,implemented_no_test_path_evidence,
PUT,/v1/cluster/update_cert,/v1/cluster/update_cert,cluster/certificates,Cluster certificates requests,,true,false,src/cluster.rs,,implemented_no_test_path_evidence,
DELETE,/v1/cluster/certificates/{certificate_name},/v1/cluster/certificates/{},cluster/certificates,Cluster certificates requests,,true,false,src/cluster.rs,,implemented_no_test_path_evidence,
POST,/v1/cluster/certificates/rotate,/v1/cluster/certificates/rotate,cluster/certificates/rotate,Rotate cluster certificates requests,,true,true,src/cluster.rs,tests/cluster_tests.rs,implemented_and_tested,
PATCH,/v1/cluster/change_password_hashing_algorithm,/v1/cluster/change_password_hashing_algorithm,cluster/change_password_hashing_algorithm,Change password hashing algorithm requests,,false,false,,,docs_only,
GET,/v1/cluster/check,/v1/cluster/check,cluster/check,Check all cluster nodes requests,,true,true,src/cluster.rs,tests/cluster_tests.rs,implemented_and_tested,
GET,/v1/cluster/debuginfo,/v1/cluster/debuginfo,cluster/debuginfo,Cluster debug info requests,,true,true,src/debuginfo.rs,tests/debuginfo_tests.rs,implemented_and_tested,
GET,/v1/cluster/ldap,/v1/cluster/ldap,cluster/ldap,Cluster LDAP requests,,true,true,src/cluster.rs;src/ldap_mappings.rs,tests/cluster_tests.rs;tests/common/fixtures.rs;tests/ldap_mappings_tests.rs,implemented_and_tested,
PUT,/v1/cluster/ldap,/v1/cluster/ldap,cluster/ldap,Cluster LDAP requests,,true,true,src/cluster.rs;src/ldap_mappings.rs,tests/cluster_tests.rs;tests/common/fixtures.rs;tests/ldap_mappings_tests.rs,implemented_and_tested,
DELETE,/v1/cluster/ldap,/v1/cluster/ldap,cluster/ldap,Cluster LDAP requests,,true,true,src/cluster.rs;src/ldap_mappings.rs,tests/cluster_tests.rs;tests/common/fixtures.rs;tests/ldap_mappings_tests.rs,implemented_and_tested,
GET,/v1/cluster/module-capabilities,/v1/cluster/module-capabilities,cluster/module-capabilities,Cluster module capabilities requests,,true,false,src/cluster.rs,,implemented_no_test_path_evidence,
GET,/v1/cluster/policy,/v1/cluster/policy,cluster/policy,Cluster policy requests,,true,false,src/cluster.rs,,implemented_no_test_path_evidence,
PUT,/v1/cluster/policy,/v1/cluster/policy,cluster/policy,Cluster policy requests,,true,false,src/cluster.rs,,implemented_no_test_path_evidence,
GET,/v1/cluster/services_configuration,/v1/cluster/services_configuration,cluster/services_configuration,Cluster services configuration requests,,true,false,src/cluster.rs,,implemented_no_test_path_evidence,
PUT,/v1/cluster/services_configuration,/v1/cluster/services_configuration,cluster/services_configuration,Cluster services configuration requests,,true,false,src/cluster.rs,,implemented_no_test_path_evidence,
GET,/v1/cluster/sso,/v1/cluster/sso,cluster/sso,Single sign-on requests,,false,false,,,docs_only,
PUT,/v1/cluster/sso,/v1/cluster/sso,cluster/sso,Single sign-on requests,,false,false,,,docs_only,
DELETE,/v1/cluster/sso,/v1/cluster/sso,cluster/sso,Single sign-on requests,,false,false,,,docs_only,
GET,/v1/cluster/sso/saml/metadata/sp,/v1/cluster/sso/saml/metadata/sp,cluster/sso,Single sign-on requests,,false,false,,,docs_only,
POST,/v1/cluster/sso/saml/metadata/idp,/v1/cluster/sso/saml/metadata/idp,cluster/sso,Single sign-on requests,,false,false,,,docs_only,
GET,/v1/cluster/stats,/v1/cluster/stats,cluster/stats,Cluster stats requests,,true,true,src/cluster.rs;src/stats.rs,tests/stats_tests.rs,implemented_and_tested,
GET,/v1/cluster/stats/last,/v1/cluster/stats/last,cluster/stats/last,Cluster last stats requests,,true,true,src/stats.rs;src/testing/server.rs,tests/stats_tests.rs,implemented_and_tested,
GET,/v1/cm_settings,/v1/cm_settings,cm_settings,Cluster Manager settings requests,cm_settings,true,true,src/cm_settings.rs,tests/cm_settings_tests.rs,implemented_and_tested,
PUT,/v1/cm_settings,/v1/cm_settings,cm_settings,Cluster Manager settings requests,cm_settings,true,true,src/cm_settings.rs,tests/cm_settings_tests.rs,implemented_and_tested,
GET,/v1/crdb_tasks,/v1/crdb_tasks,crdb_tasks,CRDB tasks requests,crdb_tasks,true,true,src/crdb_tasks.rs,tests/crdb_tasks_tests.rs,implemented_and_tested,
GET,/v1/crdb_tasks/{task_id},/v1/crdb_tasks/{},crdb_tasks,CRDB tasks requests,crdb_tasks,true,false,src/crdb_tasks.rs,,implemented_no_test_path_evidence,
POST,/v1/crdb_tasks/{task_id}/actions/cancel,/v1/crdb_tasks/{}/actions/cancel,crdb_tasks,CRDB tasks requests,crdb_tasks,true,false,src/crdb_tasks.rs,,implemented_no_test_path_evidence,
GET,/v1/crdbs,/v1/crdbs,crdbs,CRDBs requests,crdb,true,true,src/crdb.rs,tests/crdb_tests.rs,implemented_and_tested,
GET,/v1/crdbs/{crdb_guid},/v1/crdbs/{},crdbs,CRDBs requests,crdb,true,false,src/crdb.rs,,implemented_no_test_path_evidence,
PATCH,/v1/crdbs/{crdb_guid},/v1/crdbs/{},crdbs,CRDBs requests,crdb,true,false,src/crdb.rs,,implemented_no_test_path_evidence,
POST,/v1/crdbs,/v1/crdbs,crdbs,CRDBs requests,crdb,true,true,src/crdb.rs,tests/crdb_tests.rs,implemented_and_tested,
DELETE,/v1/crdbs/{crdb_guid},/v1/crdbs/{},crdbs,CRDBs requests,crdb,true,false,src/crdb.rs,,implemented_no_test_path_evidence,
PUT,/v1/crdbs/{crdb_guid}/flush,/v1/crdbs/{}/flush,crdbs/flush,CRDB flush requests,,false,false,,,docs_only,
GET,/v1/crdbs/{crdb_guid}/health_report,/v1/crdbs/{}/health_report,crdbs/health_report,CRDB health report requests,,false,false,,,docs_only,
PUT,/v1/crdbs/{crdb_guid}/purge,/v1/crdbs/{}/purge,crdbs/purge,CRDB purge requests,,false,false,,,docs_only,
POST,/v1/crdbs/{crdb_guid}/updates,/v1/crdbs/{}/updates,crdbs/updates,CRDB updates requests,,false,false,,,docs_only,
GET,/v1/debuginfo/all,/v1/debuginfo/all,debuginfo,Debug info requests,debuginfo,true,true,src/debuginfo.rs,tests/debuginfo_tests.rs,implemented_and_tested,
GET,/v1/debuginfo/all/bdb/{bdb_uid},/v1/debuginfo/all/bdb/{},debuginfo,Debug info requests,debuginfo,true,false,src/debuginfo.rs,,implemented_no_test_path_evidence,
GET,/v1/debuginfo/all,/v1/debuginfo/all,debuginfo/all,All nodes debug info requests,,true,true,src/debuginfo.rs,tests/debuginfo_tests.rs,implemented_and_tested,
GET,/v1/debuginfo/all/bdb/{bdb_uid},/v1/debuginfo/all/bdb/{},debuginfo/all/bdb,All nodes database debug info requests,,true,false,src/debuginfo.rs,,implemented_no_test_path_evidence,
GET,/v1/debuginfo/node,/v1/debuginfo/node,debuginfo/node,Current node debug info requests,,true,true,src/debuginfo.rs,tests/debuginfo_tests.rs,implemented_and_tested,
GET,/v1/debuginfo/node/bdb/{bdb_uid},/v1/debuginfo/node/bdb/{},debuginfo/node/bdb,Current node database debug info requests,,true,false,src/debuginfo.rs,,implemented_no_test_path_evidence,
GET,/v1/diagnostics,/v1/diagnostics,diagnostics,Diagnostics requests,diagnostics,true,true,src/diagnostics.rs,tests/diagnostics_tests.rs,implemented_and_tested,
PUT,/v1/diagnostics,/v1/diagnostics,diagnostics,Diagnostics requests,diagnostics,true,true,src/diagnostics.rs,tests/diagnostics_tests.rs,implemented_and_tested,
GET,/v1/endpoints/stats,/v1/endpoints/stats,endpoints-stats,Endpoints stats requests,endpoints,true,true,src/endpoints.rs,tests/endpoints_tests.rs,implemented_and_tested,
GET,/v1/job_scheduler,/v1/job_scheduler,job_scheduler,Job scheduler requests,job_scheduler,true,true,src/job_scheduler.rs,tests/job_scheduler_tests.rs,implemented_and_tested,
PUT,/v1/job_scheduler,/v1/job_scheduler,job_scheduler,Job scheduler requests,job_scheduler,true,true,src/job_scheduler.rs,tests/job_scheduler_tests.rs,implemented_and_tested,
GET,/v1/jsonschema,/v1/jsonschema,jsonschema,JSON schema requests,jsonschema,true,true,src/jsonschema.rs,tests/jsonschema_tests.rs,implemented_and_tested,
GET,/v1/ldap_mappings,/v1/ldap_mappings,ldap_mappings,LDAP mappings requests,ldap_mappings,true,true,src/ldap_mappings.rs,tests/ldap_mappings_tests.rs,implemented_and_tested,
GET,/v1/ldap_mappings/{uid},/v1/ldap_mappings/{},ldap_mappings,LDAP mappings requests,ldap_mappings,true,false,src/ldap_mappings.rs,,implemented_no_test_path_evidence,
PUT,/v1/ldap_mappings/{uid},/v1/ldap_mappings/{},ldap_mappings,LDAP mappings requests,ldap_mappings,true,false,src/ldap_mappings.rs,,implemented_no_test_path_evidence,
