page,title,method,path,description,source,source_type,sdk_module_guess,repo_module_exists,status,notes
nodes/snapshots,Node snapshot requests,GET,/v1/nodes/{uid}/snapshots,Get node snapshots,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/nodes/snapshots/,official_docs,,,unreviewed,
nodes/snapshots,Node snapshot requests,DELETE,/v1/nodes/{uid}/snapshots/{snapshot_name},Delete a node snapshot,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/nodes/snapshots/,official_docs,,,unreviewed,
nodes/stats,Node stats requests,GET,/v1/nodes/stats,Get stats for all nodes,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/nodes/stats/,official_docs,,,unreviewed,
nodes/stats,Node stats requests,GET,/v1/nodes/stats/{uid},Get stats for a single node,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/nodes/stats/,official_docs,,,unreviewed,
nodes/stats/last,Latest node stats requests,GET,/v1/nodes/stats/last,Get latest stats for all nodes,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/nodes/stats/last/,official_docs,,,unreviewed,
nodes/stats/last,Latest node stats requests,GET,/v1/nodes/stats/last/{uid},Get latest stats for a single node,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/nodes/stats/last/,official_docs,,,unreviewed,
nodes/status,Node status requests,GET,/v1/nodes/status,Get the status of all nodes,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/nodes/status/,official_docs,,,unreviewed,
nodes/status,Node status requests,GET,/v1/nodes/{uid}/status,Get a node's status,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/nodes/status/,official_docs,,,unreviewed,
ocsp,OCSP requests,GET,/v1/ocsp,Get OCSP configuration,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/ocsp/,official_docs,ocsp,true,unreviewed,
ocsp,OCSP requests,PUT,/v1/ocsp,Update OCSP configuration,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/ocsp/,official_docs,ocsp,true,unreviewed,
ocsp/status,OCSP status requests,GET,/v1/ocsp/status,Get OCSP status,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/ocsp/status/,official_docs,,,unreviewed,
ocsp/test,OCSP test requests,POST,/v1/ocsp/test,Test OCSP,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/ocsp/test/,official_docs,,,unreviewed,
proxies,Proxy requests,GET,/v1/proxies,Get all proxies,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/proxies/,official_docs,proxies,true,unreviewed,
proxies,Proxy requests,GET,/v1/proxies/{uid},Get a proxy,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/proxies/,official_docs,proxies,true,unreviewed,
proxies,Proxy requests,PUT,/v1/proxies/{uid},Update a proxy,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/proxies/,official_docs,proxies,true,unreviewed,
proxies,Proxy requests,PUT,/v1/proxies,Update all proxies,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/proxies/,official_docs,proxies,true,unreviewed,
redis_acls,Redis access control list (ACL) requests,GET,/v1/redis_acls,Get all Redis ACLs,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/redis_acls/,official_docs,redis_acls,true,unreviewed,
redis_acls,Redis access control list (ACL) requests,GET,/v1/redis_acls/{uid},Get a single Redis ACL,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/redis_acls/,official_docs,redis_acls,true,unreviewed,
redis_acls,Redis access control list (ACL) requests,PUT,/v1/redis_acls/{uid},Update a Redis ACL,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/redis_acls/,official_docs,redis_acls,true,unreviewed,
redis_acls,Redis access control list (ACL) requests,POST,/v1/redis_acls,Create a new Redis ACL,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/redis_acls/,official_docs,redis_acls,true,unreviewed,
redis_acls,Redis access control list (ACL) requests,DELETE,/v1/redis_acls/{uid},Delete a Redis ACL,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/redis_acls/,official_docs,redis_acls,true,unreviewed,
roles,Roles requests,GET,/v1/roles,Get all roles,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/roles/,official_docs,roles,true,unreviewed,
roles,Roles requests,GET,/v1/roles/{uid},Get a single role,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/roles/,official_docs,roles,true,unreviewed,
roles,Roles requests,PUT,/v1/roles/{uid},Update an existing role,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/roles/,official_docs,roles,true,unreviewed,
roles,Roles requests,POST,/v1/roles,Create a new role,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/roles/,official_docs,roles,true,unreviewed,
roles,Roles requests,DELETE,/v1/roles/{uid},Delete a role,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/roles/,official_docs,roles,true,unreviewed,
services,Services requests,GET,/v1/local/services,List Redis Software services on the local node,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/services/,official_docs,services,true,unreviewed,
services,Services requests,POST,/v1/local/services,Modify or perform operations on local processes,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/services/,official_docs,services,true,unreviewed,
services,Services requests,POST,/v1/services,Modify or perform operations on primary node processes,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/services/,official_docs,services,true,unreviewed,
shards,Shard requests,GET,/v1/shards,Get all shards,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/shards/,official_docs,shards,true,unreviewed,
shards,Shard requests,GET,/v1/shards/{uid},Get a specific shard,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/shards/,official_docs,shards,true,unreviewed,
shards/actions,Shard actions requests,POST,/v1/shards/actions/migrate,Migrate multiple shards,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/shards/actions/,official_docs,,,unreviewed,
shards/actions,Shard actions requests,POST,/v1/shards/{uid}/actions/migrate,Migrate a specific shard,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/shards/actions/,official_docs,,,unreviewed,
shards/actions/failover,Shard failover requests,POST,/v1/shards/actions/failover,Fail over multiple shards,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/shards/actions/failover/,official_docs,,,unreviewed,
shards/actions/failover,Shard failover requests,POST,/v1/shards/{uid}/actions/failover,Fail over a specific shard,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/shards/actions/failover/,official_docs,,,unreviewed,
shards/actions/migrate,Migrate shards requests,POST,/v1/shards/actions/migrate,Migrate multiple shards,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/shards/actions/migrate/,official_docs,,,unreviewed,
shards/actions/migrate,Migrate shards requests,POST,/v1/shards/{uid}/actions/migrate,Migrate a specific shard,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/shards/actions/migrate/,official_docs,,,unreviewed,
shards/stats,Shards stats requests,GET,/v1/shards/stats,Get stats for all shards,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/shards/stats/,official_docs,,,unreviewed,
shards/stats,Shards stats requests,GET,/v1/shards/stats/{uid},Get stats for a specific shard,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/shards/stats/,official_docs,,,unreviewed,
shards/stats/last,Latest shards stats requests,GET,/v1/shards/stats/last,Get most recent stats for all shards,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/shards/stats/last/,official_docs,,,unreviewed,
shards/stats/last,Latest shards stats requests,GET,/v1/shards/stats/last/{uid},Get most recent stats for a specific shard,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/shards/stats/last/,official_docs,,,unreviewed,
suffix,Suffix requests,GET,/v1/suffix/{name},Get a single DNS suffix,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/suffix/,official_docs,suffixes,true,unreviewed,
suffixes,Suffixes requests,GET,/v1/suffixes,Get all DNS suffixes,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/suffixes/,official_docs,suffixes,true,unreviewed,
usage_report,Usage report requests,GET,/v1/usage_report,Get the cluster's database usage report,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/usage_report/,official_docs,usage_report,true,unreviewed,
users,Users requests,GET,/v1/users,Get all users,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/users/,official_docs,users,true,unreviewed,
users,Users requests,GET,/v1/users/{uid},Get a single user,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/users/,official_docs,users,true,unreviewed,
users,Users requests,PUT,/v1/users/{uid},Update a user's configuration,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/users/,official_docs,users,true,unreviewed,
users,Users requests,POST,/v1/users,Create a new user,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/users/,official_docs,users,true,unreviewed,
users,Users requests,DELETE,/v1/users/{uid},Delete a user,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/users/,official_docs,users,true,unreviewed,
users/authorize,Authorize user requests,POST,/v1/users/authorize,Generate a token to authorize an authenticated user,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/users/authorize/,official_docs,,,unreviewed,
users/refresh_jwt,Refresh JWT requests,POST,/v1/users/refresh_jwt,Get a new authentication token,https://redis.io/docs/latest/operate/rs/references/rest-api/requests/users/refresh_jwt/,official_docs,,,unreviewed,
